International Conference on Advanced Communications and Computation,INFOCOMP,Unranked
"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,A*
ACM Conference on Computer and Communications Security,CCS,A*
ACM Conference on Computer Supported Cooperative Work,CSCW,A
ACM Conference on Economics and Computation,EC,A*
ACM Conference on Embedded Networked Sensor Systems,SENSYS,A*
ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,A
ACM International Conference on Advances in Geographic Information Systems,SIGSPATIAL,A
ACM International Conference on Emerging Networking Experiments and Technologies,CoNEXT,A
ACM International Conference on Information and Knowledge Management,CIKM,A
ACM International Conference on Knowledge Discovery and Data Mining,KDD,A*
ACM International Conference on Mobile Computing and Networking,MOBICOM,A*
ACM International Conference on Recommender Systems,RecSys,A
ACM International Conference on Research and Development in Information Retrieval,SIGIR,A*
ACM International Conference on Supercomputing,ICS,A
"ACM International Conference on the Foundations of Software Engineering (was ESEC/FSE, changed 2024; duplicate previously listed as ESEC, removed from DB)",FSE,A*
ACM International Conference on Web Search and Data Mining,WSDM,A
ACM International Symposium on Computer Architecture,ISCA,A*
ACM International Symposium on High Performance Distributed Computing,HPDC,A
ACM Multimedia,ACMMM,A*
ACM SIG International Conference on Computer Graphics and Interactive Techniques,SIGGRAPH,A*
"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services",Mobisys,A
ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems,PODS,A*
ACM SIGOPS Symposium on Operating Systems Principles,SOSP,A*
ACM Special Interest Group on Computer Science Education Conference,SIGCSE,A
ACM Special Interest Group on Management of Data Conference,SIGMOD,A*
ACM Symposium on Mobile Ad Hoc Networking and Computing,MOBIHOC,A
ACM Symposium on Principles of Distributed Computing,PODC,A*
ACM Symposium on Theory of Computing,STOC,A*
ACM Symposium on User Interface Software and Technology,UIST,A*
ACM Virtual Reality Software and Technology,VRST,A
ACM-SIGACT Symposium on Principles of Programming Languages,POPL,A*
ACM-SIGPLAN Conference on Programming Language Design and Implementation,PLDI,A*
ACM/IEEE International Conference on Human-Robot Interaction,HRI,A
"ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems",MSWIM,A
ACM/IFIP/USENIX International Middleware Conference,Middleware,A
ACM/SIAM Symposium on Discrete Algorithms,SODA,A*
Advances in Cryptology,CRYPTO,A*
Advances in Neural Information Processing Systems (was NIPS),NeurIPS,A*
Annual Computer Security Applications Conference,ACSAC,A
Architectural Support for Programming Languages and Operating Systems,ASPLOS,A*
"Asia Conference on Information, Computer and Communications Security",AsiaCCS,A
Association for Computational Linguistics,ACL,A*
Automated Software Engineering Conference,ASE,A*
British Machine Vision Conference,BMVC,A
Computer Aided Verification,CAV,A*
Conference in Uncertainty in Artificial Intelligence,UAI,A
Conference on File and Storage Technologies,FAST,A
Conference on Innovative Data Systems Research,CIDR,A
Conference on Integer Programming and Combinatorial Optimization,IPCO,A
"Conference on Interactive Theorem Proving (previously TPHOLs, changed in 2009)",ITP,A
Conference on Learning Theory,COLT,A*
Designing Interactive Systems,DIS,A
Empirical Methods in Natural Language Processing,EMNLP,A*
European Association for Computational Linguistics,EACL,A
European Conference on Artificial Intelligence,ECAI,A
European Conference on Computer Vision,ECCV,A*
European Conference on Information Retrieval,ECIR,A
European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Database (PKDD and ECML combined from 2008),ECML PKDD,A
European Conference on Object-Oriented Programming,ECOOP,A
European Conference on Software Architecture,ECSA,A
European Symposium on Algorithms,ESA,A
European Symposium on Programming,ESOP,A
European Symposium On Research In Computer Security,ESORICS,A
Eurosys Conference,EuroSys,A
Extending Database Technology,EDBT,A
